start_station_id,start_station_name,start_lat,start_lng,matched_station_id,matched_station_name,GEOID,match_method,confidence_note
1234.56,Morgan HCT Charging,40.70894799999999,-73.93277700000006,,,,no_name_match_coordinate_far,unmatched (nearest 208.4 m)
190 Morgan,190 Morgan,40.711071680975735,-73.9320957361997,,,,no_name_match_coordinate_far,unmatched (nearest 143.6 m)
1964.01,101 St & Fort Hamilton Pkwy,40.61124,-74.03281999999999,2126624772423916318,101 St & Fort Hamilton Pkwy,36047016200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2009.04,Shore Rd & 4 Ave,40.61149999999999,-74.03513,2124426307973079924,Shore Rd & 4 Ave,36047005602,exact_name_plus_nearest_coord,high (distance 0.0 m)
2042.01,4 Ave & 99 St,40.61327000000001,-74.03315,2124037775602344266,4 Ave & 99 St,36047016200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2086.07,99 St & 3 Ave,40.61451,-74.03502000000002,2126274308236524392,99 St & 3 Ave,36047005602,exact_name_plus_nearest_coord,high (distance 0.0 m)
2118.13,Fort Hamilton Pkwy & 95 St,40.61466000000001,-74.02945999999999,2126965369631090816,Fort Hamilton Pkwy & 95 St,36047016200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2127.03,Shore Rd & 97 St,40.61529,-74.03779,2124037656159914878,Shore Rd & 97 St,36047005601,exact_name_plus_nearest_coord,high (distance 0.0 m)
2158.08,4 Ave & 94 St,40.61689,-74.03091,2124037510131026812,4 Ave & 94 St,36047005800,exact_name_plus_nearest_coord,high (distance 0.0 m)
2190.08,Fort Hamilton Pkwy & 92 St,40.617169999999994,-74.02744000000001,2132211694027383298,Fort Hamilton Pkwy & 92 St,36047016000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2200.07,96 St & Marine Ave,40.61699,-74.03567999999999,2126624466406238560,96 St & Marine Ave,36047005601,exact_name_plus_nearest_coord,high (distance 0.0 m)
2231.10,3 Ave & 92 St,40.61946,-74.03261000000002,2126624118513887578,3 Ave & 92 St,36047005800,exact_name_plus_nearest_coord,high (distance 0.0 m)
2240.06,Shore Rd & Oliver St,40.619189999999996,-74.0402,2126579619522812246,Shore Rd & Oliver St,36047005202,exact_name_plus_nearest_coord,high (distance 0.0 m)
2261.04,5 Ave & 88 St,40.62021,-74.02717,2124426189188761638,5 Ave & 88 St,36047016000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2303.05,4 Ave & 87 St,40.62184,-74.02863,2126225134412534550,4 Ave & 87 St,36047016000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2312.02,Colonial Rd & 89 St,40.62254,-74.03725999999999,2124037250266884686,Colonial Rd & 89 St,36047005201,exact_name_plus_nearest_coord,high (distance 0.0 m)
2335.08,Fort Hamilton Pkwy & 85 St,40.62095000000001,-74.02388000000002,2126224996973581072,Fort Hamilton Pkwy & 85 St,36047014200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2345.04,Ridge Blvd & 89 St,40.62194,-74.03477,2126274178538511162,Ridge Blvd & 89 St,36047005201,exact_name_plus_nearest_coord,high (distance 0.0 m)
2345.05,89 St & 3 Ave,40.62136999999999,-74.03209,2126623765785393224,89 St & 3 Ave,36047006000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2377.01,4 Ave & 85 St,40.62354,-74.02817,2124037125711300644,4 Ave & 85 St,36047006200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2387.07,86 St & Ridge Blvd,40.62402,-74.03396,2124426077519611940,86 St & Ridge Blvd,36047005000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2419.03,84 St & 3 Ave,40.62503000000002,-74.03059,2126623405008140358,84 St & 3 Ave,36047006200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2453.05,4 Ave & 81 St,40.626430000000006,-74.02707000000001,2123940513700131194,4 Ave & 81 St,36047004600,exact_name_plus_nearest_coord,high (distance 0.0 m)
2463.04,Ridge Blvd & 82 St,40.62710999999999,-74.03259999999999,2126622876727162948,Ridge Blvd & 82 St,36047004600,exact_name_plus_nearest_coord,high (distance 0.0 m)
