start_station_id,start_station_name,matched_station_id,matched_station_name,GEOID,match_method,confidence_note
1964.01,101 St & Fort Hamilton Pkwy,2126624772423916318,101 St & Fort Hamilton Pkwy,36047016200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2009.04,Shore Rd & 4 Ave,2124426307973079924,Shore Rd & 4 Ave,36047005602,exact_name_plus_nearest_coord,high (distance 0.0 m)
2042.01,4 Ave & 99 St,2124037775602344266,4 Ave & 99 St,36047016200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2086.07,99 St & 3 Ave,2126274308236524392,99 St & 3 Ave,36047005602,exact_name_plus_nearest_coord,high (distance 0.0 m)
2118.13,Fort Hamilton Pkwy & 95 St,2126965369631090816,Fort Hamilton Pkwy & 95 St,36047016200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2127.03,Shore Rd & 97 St,2124037656159914878,Shore Rd & 97 St,36047005601,exact_name_plus_nearest_coord,high (distance 0.0 m)
2158.08,4 Ave & 94 St,2124037510131026812,4 Ave & 94 St,36047005800,exact_name_plus_nearest_coord,high (distance 0.0 m)
2190.08,Fort Hamilton Pkwy & 92 St,2132211694027383298,Fort Hamilton Pkwy & 92 St,36047016000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2200.07,96 St & Marine Ave,2126624466406238560,96 St & Marine Ave,36047005601,exact_name_plus_nearest_coord,high (distance 0.0 m)
2231.10,3 Ave & 92 St,2126624118513887578,3 Ave & 92 St,36047005800,exact_name_plus_nearest_coord,high (distance 0.0 m)
2240.06,Shore Rd & Oliver St,2126579619522812246,Shore Rd & Oliver St,36047005202,exact_name_plus_nearest_coord,high (distance 0.0 m)
2261.04,5 Ave & 88 St,2124426189188761638,5 Ave & 88 St,36047016000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2303.05,4 Ave & 87 St,2126225134412534550,4 Ave & 87 St,36047016000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2312.02,Colonial Rd & 89 St,2124037250266884686,Colonial Rd & 89 St,36047005201,exact_name_plus_nearest_coord,high (distance 0.0 m)
2335.08,Fort Hamilton Pkwy & 85 St,2126224996973581072,Fort Hamilton Pkwy & 85 St,36047014200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2345.04,Ridge Blvd & 89 St,2126274178538511162,Ridge Blvd & 89 St,36047005201,exact_name_plus_nearest_coord,high (distance 0.0 m)
2345.05,89 St & 3 Ave,2126623765785393224,89 St & 3 Ave,36047006000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2377.01,4 Ave & 85 St,2124037125711300644,4 Ave & 85 St,36047006200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2387.07,86 St & Ridge Blvd,2124426077519611940,86 St & Ridge Blvd,36047005000,exact_name_plus_nearest_coord,high (distance 0.0 m)
2419.03,84 St & 3 Ave,2126623405008140358,84 St & 3 Ave,36047006200,exact_name_plus_nearest_coord,high (distance 0.0 m)
2453.05,4 Ave & 81 St,2123940513700131194,4 Ave & 81 St,36047004600,exact_name_plus_nearest_coord,high (distance 0.0 m)
2463.04,Ridge Blvd & 82 St,2126622876727162948,Ridge Blvd & 82 St,36047004600,exact_name_plus_nearest_coord,high (distance 0.0 m)
